file1 file2 intersection union jaccard n_intersections
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed 50351756 156565663 0.321602 89348
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed 53525240 180138367 0.297134 90761
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed 26057309 140463271 0.18551 68848
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed 39600953 133907090 0.295735 88796
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed 37042746 168332851 0.220057 78690
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed 39649417 188974710 0.209813 67939
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed 72142840 143866709 0.501456 119432
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed 113941361 113941361 1 229496
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed 81269248 160493950 0.50637 130852
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed 45911333 180864768 0.253843 84244
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed 33707600 143630230 0.234683 66530
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed 40950558 173148562 0.236505 81050
