repository	dataset_id	file_accession	target	assembly	file_format	output_type	output_category	download_url	retrieved_at_utc
ENCODE	ENCSR285NFQ	ENCFF022SXH	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF022SXH/@@download/ENCFF022SXH.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR299EQJ	ENCFF861YME	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF861YME/@@download/ENCFF861YME.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR303IKJ	ENCFF591XBH	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF591XBH/@@download/ENCFF591XBH.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR305ISQ	ENCFF299NWK	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF299NWK/@@download/ENCFF299NWK.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR307DQT	ENCFF245TXP	H3K27ac	GRCh38	bed narrowPeak	replicated peaks	annotation	https://www.encodeproject.org/files/ENCFF245TXP/@@download/ENCFF245TXP.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR312HLG	ENCFF817IVB	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF817IVB/@@download/ENCFF817IVB.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR313CEH	ENCFF448PFH	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF448PFH/@@download/ENCFF448PFH.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR314BEX	ENCFF440VKC	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF440VKC/@@download/ENCFF440VKC.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR315IRO	ENCFF234HQO	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF234HQO/@@download/ENCFF234HQO.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR315UUP	ENCFF788DLD	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF788DLD/@@download/ENCFF788DLD.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR316LNO	ENCFF405WAW	H3K27ac	GRCh38	bed narrowPeak	replicated peaks	annotation	https://www.encodeproject.org/files/ENCFF405WAW/@@download/ENCFF405WAW.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR318HUC	ENCFF263VGS	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF263VGS/@@download/ENCFF263VGS.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR321KDV	ENCFF875LMK	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF875LMK/@@download/ENCFF875LMK.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR321LKT	ENCFF221NOB	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF221NOB/@@download/ENCFF221NOB.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR322TJD	ENCFF686UBD	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF686UBD/@@download/ENCFF686UBD.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR324JDC	ENCFF659NCA	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF659NCA/@@download/ENCFF659NCA.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR325VCV	ENCFF389RXK	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF389RXK/@@download/ENCFF389RXK.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR326YRW	ENCFF672SGH	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF672SGH/@@download/ENCFF672SGH.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR327XTS	ENCFF051OAR	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF051OAR/@@download/ENCFF051OAR.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR329FXI	ENCFF216VYV	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF216VYV/@@download/ENCFF216VYV.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR334DRN	ENCFF462XVH	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF462XVH/@@download/ENCFF462XVH.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR339XMR	ENCFF423CQD	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF423CQD/@@download/ENCFF423CQD.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR340NAL	ENCFF728KHA	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF728KHA/@@download/ENCFF728KHA.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR340OJR	ENCFF878EFJ	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF878EFJ/@@download/ENCFF878EFJ.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR340ZTB	ENCFF289XOR	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF289XOR/@@download/ENCFF289XOR.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR342KXD	ENCFF600QTP	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF600QTP/@@download/ENCFF600QTP.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR343DFX	ENCFF758DTU	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF758DTU/@@download/ENCFF758DTU.bed.gz	2026-07-24T19:57:09+00:00
ENCODE	ENCSR344PHP	ENCFF712CHB	H3K27ac	GRCh38	bed narrowPeak	pseudoreplicated peaks	annotation	https://www.encodeproject.org/files/ENCFF712CHB/@@download/ENCFF712CHB.bed.gz	2026-07-24T19:57:09+00:00
