resource	assembly	marker	identifier	cell_type	processed_file_download_url
Roadmap	hg19	H3K4me3	NGRMPIDS7DSG4N	ES-WA7	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.ES-WA7.H3K4me3.Solexa-13062.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIDXG4AHCI	Angular gyrus	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/BI.Brain_Angular_Gyrus.H3K4me3.112.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIGBOWS6DT	Stomach	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UW.Fetal_Stomach.H3K4me3.H-24639.Histone.DS22598.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIHKNOZ2LX	Thymus	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UW.Fetal_Thymus.H3K4me3.H-24644.Histone.DS21539.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIIAO2K4NH	Muscle satellite cultured cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.Muscle_Satellite_Cultured_Cells.H3K4me3.hSKM-2.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIKBUY5XHE	H1-hESC	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1.H3K4me3.SAK67.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIM73AQYKS	CD4+ CD25- CD45RO+ memory cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.CD4+_CD25-_CD45RO+_Memory_Primary_Cells.H3K4me3.Donor_62.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIMUXCFDF3	Large intestine	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UW.Fetal_Intestine_Large.H3K4me3.H-24595.Histone.DS21530.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIS3ROICZC	Keratinocyte	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSF-UBC.Penis_Foreskin_Keratinocyte_Primary_Cells.H3K4me3.skin02.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIVJFNA3ZS	Skeletal muscle	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/BI.Skeletal_Muscle.H3K4me3.63.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPIWVFAYIJX	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.H1_BMP4_Derived_Trophoblast_Cultured_Cells.H3K4me3.AY65.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJ4YA5FKEI	Mucosa	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.Rectal_Mucosa.H3K4me3.29.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJ5YIMVQAW	iPS-15b	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.iPS-15b.H3K4me3.Solexa-20743.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJBJW7V7XV	iPS-11a	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.iPS-11a.H3K4me3.Solexa-11733.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJFYQL3XKN	Myoepithelial cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSF-UBC.Breast_Myoepithelial_Cells.H3K4me3.RM066.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJGUQJWMUV	CD56+	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/UW.CD56_Primary_Cells.H3K4me3.RO_01701.Histone.DS21715.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJH3C75SEP	CD56+ mesoderm cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.hESC_Derived_CD56+_Mesoderm_Cultured_Cells.H3K4me3.DNA_Lib_1273.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJJKYEJQPC	iPS-20b	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.iPS-20b.H3K4me3.Lib_MC_20100119_05--ChIP_MC_20100113_05_hiPS-20b_H3K4Me3.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJJYC6HKR3	CD34+	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.CD34_Cultured_Cells.H3K4me3.123.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJKD3VGW53	Neuron	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/BI.H9_Derived_Neuron_Cultured_Cells.H3K4me3.113.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJOK6VP5AC	Left ventricle	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.Left_Ventricle.H3K4me3.STL003.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJPASDAINO	CD4+ naive	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.CD4_Naive_Primary_Cells.H3K4me3.Donor_100_7_pooled_leukopaks_Jan_7_2011.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJQ7UOP3QX	CD19+	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.CD19_Primary_Cells.H3K4me3.CD19_12_22_08.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJWBLBMLV3	Chrondrocytes	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.57.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJWN6EDLZ6	Pancreas	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.Pancreas.H3K4me3.STL003.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJXDCKEJPG	Neurosphere cultured cell ganglionic eminence derived	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSF-UBC.Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived.H3K4me3.HuFNSC02.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPJZT7TF4TD	CD4+ CD25- CD45RO+ memory cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.CD4+_CD25-_CD45RO+_Memory_Primary_Cells.H3K4me3.Donor_332.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPK3R2QUF44	Muscle satellite cultured cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/BI.Muscle_Satellite_Cultured_Cells.H3K4me3.hSKM-3.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPK4ACYRL53	Ovary	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.Ovary.H3K4me3.STL002.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPK5HJLNWF5	CD4+ CD25- CD45RA+ naive T cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.CD4+_CD25-_CD45RA+_Naive_Primary_Cells.H3K4me3.Donor_62.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPK6MBMEODE	HUES48	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.HUES48.H3K4me3.Lib_MC_20101025_08--ChIP_MC_20101020_08_ES_cell_HUES_48_H3K4Me3.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKC5WGERSV	Spleen	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.Spleen.H3K4me3.STL003.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKFPM5DYIH	Brain	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC-T.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKGMBKZ2S4	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K4me3.SK467.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKJQL4R46E	CD4+ CD25+ CD127- Treg	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/BI.CD4+_CD25+_CD127-_Treg_Primary_Cells.H3K4me3.Donor_62.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKKX3I6MWG	Chrondrocytes	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/BI.Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.57.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKLNWGA4DB	Pancreas	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.Pancreas.H3K4me3.STL003.narrowPeak.bed.gz
