seed,peak_type,cell,k,w,n_xref,n_diff,median_xref_reg,median_diff_reg,delta_reg,separated_reg,median_xref_ie,median_diff_ie,delta_ie,separated_ie,matrix,rank_ie
99,narrow,k25_w25,25,25,18,54,0.9267582182820344,0.3546859366702187,0.5720722816118158,True,0.9222023288664897,0.33155062924190054,0.5906516996245892,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k25_w25/exp_a_mnmzr_p24_jaccD_k25_w25_rehash-selector64_full.csv,6
99,narrow,k25_w30,25,30,18,54,0.9246591390071891,0.350644401743674,0.5740147372635152,True,0.920718669844634,0.33103228248733463,0.5896863873572994,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k25_w30/exp_a_mnmzr_p24_jaccD_k25_w30_rehash-selector64_full.csv,8
99,narrow,k25_w35,25,35,18,54,0.9228027407276578,0.3477053738960329,0.5750973668316248,True,0.9193372583374215,0.33070231027817665,0.5886349480592449,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k25_w35/exp_a_mnmzr_p24_jaccD_k25_w35_rehash-selector64_full.csv,10
99,narrow,k25_w40,25,40,18,54,0.921180837899947,0.3452624699683598,0.5759183679315871,True,0.9180922713610218,0.3302462181456026,0.5878460532154192,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k25_w40/exp_a_mnmzr_p24_jaccD_k25_w40_rehash-selector64_full.csv,12
99,narrow,k25_w50,25,50,18,54,0.9183787188681074,0.3417086989298288,0.5766700199382786,True,0.9157900064907729,0.32963306378079993,0.586156942709973,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k25_w50/exp_a_mnmzr_p24_jaccD_k25_w50_rehash-selector64_full.csv,13
99,narrow,k25_w60,25,60,18,54,0.9159632858987187,0.3391203606784157,0.5768429252203029,True,0.9137731594158028,0.32903124757780616,0.5847419118379966,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k25_w60/exp_a_mnmzr_p24_jaccD_k25_w60_rehash-selector64_full.csv,15
99,narrow,k25_w75,25,75,18,54,0.9133057511156143,0.3364072714906535,0.5768984796249608,True,0.9115232607174647,0.32844089325926973,0.583082367458195,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k25_w75/exp_a_mnmzr_p24_jaccD_k25_w75_rehash-selector64_full.csv,17
99,narrow,k30_w30,30,30,18,54,0.9164002325013296,0.3467669455127525,0.5696332869885772,True,0.9120998149485008,0.32729624340403773,0.584803571544463,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k30_w30/exp_a_mnmzr_p24_jaccD_k30_w30_rehash-selector64_full.csv,14
99,narrow,k30_w35,30,35,18,54,0.9144106186795005,0.3434618446224926,0.5709487740570078,True,0.9106167706394618,0.3269779079991438,0.583638862640318,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k30_w35/exp_a_mnmzr_p24_jaccD_k30_w35_rehash-selector64_full.csv,16
99,narrow,k30_w40,30,40,18,54,0.9125444062490979,0.34099829204828114,0.5715461142008168,True,0.909130732727081,0.32685312900823016,0.5822776037188508,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k30_w40/exp_a_mnmzr_p24_jaccD_k30_w40_rehash-selector64_full.csv,18
99,narrow,k30_w50,30,50,18,54,0.9093575238807385,0.337860624452126,0.5714968994286125,True,0.90655589953167,0.3264721650628217,0.5800837344688483,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k30_w50/exp_a_mnmzr_p24_jaccD_k30_w50_rehash-selector64_full.csv,19
99,narrow,k30_w60,30,60,18,54,0.9066154342615865,0.3357106628591792,0.5709047714024074,True,0.904212975451968,0.3262167475097938,0.5779962279421742,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k30_w60/exp_a_mnmzr_p24_jaccD_k30_w60_rehash-selector64_full.csv,20
99,narrow,k30_w75,30,75,18,54,0.903305608359308,0.33321597797601715,0.5700896303832907,True,0.9012729455175911,0.3256951604867907,0.5755777850308004,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k30_w75/exp_a_mnmzr_p24_jaccD_k30_w75_rehash-selector64_full.csv,23
