peak_type,cell,k,w,delta_ie_min,delta_ie_median,delta_ie_max,delta_ie_range,rank_best,rank_worst,all_seeds_separated
narrow,k40_w40,40,40,0.5692224712503768,0.5693496283012532,0.5694387127470997,0.00021624149672283544,26,26,True
narrow,k40_w50,40,50,0.5668724427888022,0.5669324169565688,0.5670358926319239,0.00016344984312166577,28,28,True
narrow,k40_w60,40,60,0.5647324477358048,0.5647326127977297,0.5647973521008014,6.490436499662078e-05,29,29,True
narrow,k40_w75,40,75,0.5616598167028704,0.561749544207959,0.5618321312642187,0.00017231456134836343,30,30,True
narrow,k50_w50,50,50,0.5558575151422904,0.5558844015961582,0.5560285415583952,0.0001710264161047803,35,35,True
narrow,k50_w60,50,60,0.5541156831759853,0.5541605060628788,0.5542137173272659,9.803415128062376e-05,36,36,True
narrow,k50_w75,50,75,0.5515330574065671,0.5516289102407343,0.5517215768970052,0.00018851949043807714,39,39,True
narrow,k5_w10,5,10,0.00824127823182752,0.008241278232991589,0.008241278234030758,2.203237592368623e-12,61,61,True
narrow,k5_w15,5,15,0.021453921010222476,0.02145392101065191,0.021453921010664567,4.4209080840573733e-13,60,60,True
narrow,k5_w20,5,20,0.030871372696958832,0.030871372698025645,0.030871372698862865,1.9040324872321435e-12,59,59,False
narrow,k5_w25,5,25,0.06599274146912193,0.06599274146987644,0.06599274147101053,1.8886003871898538e-12,50,50,True
narrow,k5_w30,5,30,0.03855433288677679,0.03855433288678112,0.03855433288804577,1.268984917146554e-12,57,57,False
narrow,k5_w5,5,5,0.0,0.0,0.0,0.0,63,63,False
narrow,k5_w50,5,50,0.06336924751016537,0.06336924751068151,0.06336924751227946,2.114086683491223e-12,52,52,False
narrow,k5_w75,5,75,0.04388027936613137,0.04388027936617511,0.0438802793661891,5.773159728050814e-14,55,55,False
narrow,k5_w8,5,8,0.0026736076195007508,0.002673607619506968,0.0026736076199782577,4.775069228912798e-13,62,62,False
narrow,k8_w10,8,10,0.04284810256578597,0.04285000763578961,0.042853661536987775,5.558971201802265e-06,56,56,True
narrow,k8_w15,8,15,0.05444941132139525,0.05450043149508221,0.05460603786920537,0.00015662654781012364,54,54,True
narrow,k8_w20,8,20,0.061360025382806826,0.061360481112036624,0.061421298168155114,6.12727853482875e-05,53,53,True
narrow,k8_w25,8,25,0.06827075783399306,0.06843342279376685,0.06843940486033528,0.00016864702634222795,48,49,True
narrow,k8_w30,8,30,0.06827446666354775,0.06828133181727825,0.06828133202265385,6.865359106100755e-06,48,49,True
narrow,k8_w50,8,50,0.07240446527332245,0.07253942655431123,0.07256225801232374,0.00015779273900129454,47,47,True
narrow,k8_w75,8,75,0.06337421952057798,0.06337421972914459,0.063570477943656,0.00019625842307802177,51,51,True
narrow,k8_w8,8,8,0.032572867394572214,0.03257974503860539,0.03261760847733597,4.47410827637551e-05,58,58,True
