peak_type,cell,k,w,n_xref,n_diff,median_xref_reg,median_diff_reg,delta_reg,separated_reg,median_xref_ie,median_diff_ie,delta_ie,separated_ie
broad,k8_w25,8,25,18,54,0.9884790568902384,0.9286623123250488,0.05981674456518959,TRUE,0.988475761431147,0.9288974468320074,0.05957831459913965,TRUE
broad,k8_w30,8,30,18,54,0.983915582419834,0.9216890969377804,0.06222648548205367,TRUE,0.9839099987577136,0.92166333803177,0.06224666072594354,TRUE
broad,k8_w50,8,50,18,54,0.9794365284974094,0.913567543730707,0.06586898476670233,TRUE,0.979434591704098,0.9137043045762048,0.0657302871278932,TRUE
broad,k8_w75,8,75,18,54,0.9791469194312796,0.9148936170212766,0.06425330241000304,TRUE,0.9791426797399052,0.9148751835334304,0.06426749620647498,TRUE
broad,k10_w10,10,10,18,54,0.990588858813954,0.9200529803312396,0.07053587848271436,TRUE,0.9905898617501367,0.920224297140804,0.07036556460933263,TRUE
broad,k10_w15,10,15,18,54,0.988128032595224,0.9044682752457552,0.08365975734946896,TRUE,0.988103852602479,0.904467351540853,0.08363650106162601,TRUE
broad,k10_w20,10,20,18,54,0.9862112229854773,0.8987937102808923,0.08741751270458498,TRUE,0.986252340573757,0.8988802064565369,0.08737213411722011,TRUE
broad,k10_w25,10,25,18,54,0.9843867652921114,0.8927802284305426,0.09160653686156885,TRUE,0.984404190575649,0.8928482085690723,0.09155598200657666,TRUE
broad,k10_w30,10,30,18,54,0.9829892210627654,0.8893980295397101,0.09359119152305528,TRUE,0.98295674558087,0.8894162291387999,0.09354051644207018,TRUE
broad,k10_w50,10,50,18,54,0.9788217809519878,0.8793229817036755,0.09949879924831229,TRUE,0.978843413648814,0.8794226079417068,0.09942080570710732,TRUE
broad,k10_w75,10,75,18,54,0.97485977564102555,0.8760250173731758,0.09883475826784982,TRUE,0.9749253402148128,0.8762414116991492,0.09868392851566354,TRUE
broad,k15_w15,15,15,18,54,0.9259349532370816,0.4432050966135186,0.48272985662356305,TRUE,0.919521667389197,0.40959321997584286,0.5099284474133542,TRUE
broad,k15_w20,15,20,18,54,0.922828316041064,0.4344871543862501,0.4883411616548139,TRUE,0.9179359484656928,0.408472393137105,0.5094635553285878,TRUE
broad,k15_w25,15,25,18,54,0.9206554236366584,0.42884557745192914,0.4918098461847294,TRUE,0.9166193034184724,0.4078163948251858,0.5088029085932866,TRUE
broad,k15_w30,15,30,18,54,0.9188123543142056,0.42480577657611807,0.4940065777380874,TRUE,0.9153825291871336,0.4072876990821891,0.5080948301049446,TRUE
broad,k15_w50,15,50,18,54,0.914119049210038,0.4161811165972177,0.49793793261282027,TRUE,0.9120430803314704,0.4058056936774849,0.5062373866539853,TRUE
broad,k15_w75,15,75,18,54,0.9108150350716682,0.4112827813759093,0.4995322536957589,TRUE,0.909434565904756,0.4044773828089545,0.5049571830958014,TRUE
