precision,num_files,build,arm,run_index,order_position,threads,num_intervals,n_pairs,sketch_time,comparison_time,pair_time,write_time,wall_time,cpu_time,max_rss_mb,us_per_pair,binary_md5,hostname,cpu_model,cpu_count,slurm_job_id,git_sha,corpus_seed
16,64,post,no_metrics,0,2,16,10000,4096,5.892709,0.014329,0.013037,0.001292,5.912640810012817,93.92172699999986,14.3046875,3.182861328125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,post,metrics,0,3,16,10000,4096,5.89224,0.027846,0.020974,0.006871,5.926435708999634,94.09040699999994,14.296875,5.12060546875,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,pre,no_metrics,1,0,16,10000,4096,5.875505,0.014368,0.013098,0.00127,5.895119905471802,93.6400590000003,14.2890625,3.19775390625,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,pre,metrics,1,1,16,10000,4096,5.877613,0.04175,0.034969,0.006781,5.924745082855225,94.06782799999968,14.2734375,8.537353515625,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,post,metrics,1,2,16,10000,4096,5.893206,0.027938,0.021029,0.006909,5.926833391189575,94.11770399999997,14.296875,5.134033203125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,post,no_metrics,1,3,16,10000,4096,5.889785,0.014596,0.013331,0.001264,5.910581827163696,93.89685000000004,14.2890625,3.254638671875,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,pre,no_metrics,2,0,16,10000,4096,5.876195,0.01434,0.013021,0.001318,5.8957531452178955,93.66276100000053,14.28125,3.178955078125,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,post,no_metrics,2,1,16,10000,4096,5.902246,0.01441,0.013141,0.001269,5.923671722412109,94.08923499999926,14.2734375,3.208251953125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,pre,metrics,2,2,16,10000,4096,5.875986,0.041878,0.035015,0.006862,5.9236531257629395,94.06227799999995,14.2734375,8.548583984375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,post,metrics,2,3,16,10000,4096,5.892125,0.027947,0.021119,0.006827,5.926370143890381,94.10189800000012,14.3046875,5.156005859375,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,pre,no_metrics,3,0,16,10000,4096,5.876229,0.014281,0.012991,0.00129,5.895649671554565,93.68055999999986,14.265625,3.171630859375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,post,no_metrics,3,1,16,10000,4096,5.890899,0.014351,0.013069,0.001281,5.910963535308838,93.90370200000024,14.296875,3.190673828125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,post,metrics,3,2,16,10000,4096,5.89151,0.027971,0.021103,0.006867,5.925837516784668,94.07721200000026,14.296875,5.152099609375,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,pre,metrics,3,3,16,10000,4096,5.877453,0.041829,0.034937,0.006892,5.9247145652771,94.07600600000026,14.296875,8.529541015625,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,pre,no_metrics,4,0,16,10000,4096,5.876163,0.014386,0.013091,0.001295,5.895569324493408,93.65000099999928,14.2890625,3.196044921875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,post,metrics,4,1,16,10000,4096,5.892525,0.027853,0.021017,0.006835,5.926535129547119,94.10407600000033,14.2734375,5.131103515625,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,pre,metrics,4,2,16,10000,4096,5.878905,0.041736,0.034884,0.006851,5.926919937133789,94.1007319999997,14.2890625,8.5166015625,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
16,64,post,no_metrics,4,3,16,10000,4096,5.892527,0.014358,0.013083,0.001274,5.912835597991943,93.92516700000029,14.296875,3.194091796875,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,pre,no_metrics,0,0,16,10000,4096,7.81937,0.053618,0.052301,0.001316,7.880185127258301,124.0062339999997,41.18359375,12.768798828125,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,pre,metrics,0,1,16,10000,4096,7.823858,0.145463,0.138573,0.006889,7.976927995681763,125.43611900000013,41.15234375,33.831298828125,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
