file1,file2,sketch_type,mode,precision,num_hashes,kmer_size,window_size,jaccard_similarity,jaccard_similarity_ie,containment_AB,containment_BA,cosketch_geom,cosketch_arith,cosketch_max
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.40844762325286865,0.25893885120801513,0.3917599220320587,0.43302566907177453,0.411876319243336,0.41239279555191666,0.43302566907177453
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.4026014804840088,0.25201822054572576,0.3895175337905448,0.4165471621763325,0.4028056892825313,0.4030323479834387,0.4165471621763325
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3958510160446167,0.2445232328619383,0.38148294059131055,0.40514669970646294,0.3931368138128076,0.39331482014888675,0.40514669970646294
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3998587131500244,0.2491256515844469,0.3817034538800005,0.4176753784944363,0.3992845283403338,0.3996894161872184,0.4176753784944363
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.39484477043151855,0.24408034232752876,0.42124358939965856,0.3672301097555384,0.3933107290286569,0.39423684957759847,0.42124358939965856
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.2823760509490967,0.1354150667218744,0.18624863898756636,0.3316160174490872,0.24852169304986144,0.2589323282183268,0.3316160174490872
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.35898613929748535,0.2153736653151756,0.2875541012558259,0.46178994459776157,0.3644030632250324,0.37467202292679375,0.46178994459776157
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3916701078414917,0.2403442937550201,0.3673230663945764,0.4101220135320729,0.3881330643046518,0.3887225399633246,0.4101220135320729
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3838472366333008,0.23147146344326658,0.3992381192153424,0.3551872813698334,0.3765691200607173,0.3772127002925879,0.3992381192153424
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0
