file1,file2,sketch_type,mode,precision,num_hashes,kmer_size,window_size,reg_eq_similarity,jaccard_similarity_ie,containment_AB,containment_BA,cosketch_geom,cosketch_arith,cosketch_max
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.39188432693481445,0.2397598811738326,0.36685288069009103,0.40900611774963647,0.38735651861860376,0.38792949921986375,0.40900611774963647
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.38353776931762695,0.23137620233520553,0.3993231161342238,0.35489586435912457,0.3764546751722369,0.3771094902466742,0.3993231161342238
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.6150903701782227,0.5019732813523988,0.7073205683135708,0.6335723184076337,0.6694316487318434,0.6704464433606023,0.7073205683135708
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.7022213935852051,0.6121433186859255,0.855688716637683,0.6826147813511563,0.7642681245559594,0.7691517489944196,0.855688716637683
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.42218828201293945,0.27481204024180034,0.4539136083772287,0.4105446990042464,0.431684868538568,0.43222915369073756,0.4539136083772287
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.3913264274597168,0.25272800879682805,0.32707851315865083,0.5264673257863511,0.4149652396825676,0.42677291947250096,0.5264673257863511
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.4097294807434082,0.2599064079158481,0.4090484678089353,0.4161740600761986,0.41259588172447,0.412611263942567,0.4161740600761986
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.42714500427246094,0.28027411973364963,0.4296588870622261,0.44632737965383784,0.43791383308530873,0.43799313335803197,0.44632737965383784
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.3970365524291992,0.24740959421273304,0.3664624172607214,0.43232256968917937,0.3980326292211021,0.39939249347495037,0.43232256968917937
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,21,NA,8,40,0.4473233222961426,0.3044689888383514,0.5131257463679567,0.4281616100351202,0.4687224612874628,0.47064367820153846,0.5131257463679567
