Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR567EEO	ENCFF737OQO		spleen	Homo sapiens
ENCSR627NIF	ENCFF136PUE		lung	Homo sapiens
ENCSR531HPD	ENCFF663QAD		large intestine	Homo sapiens
ENCSR914DOH	ENCFF536PBU		heart	Homo sapiens
ENCSR930PDT	ENCFF663IMO		ovary	Homo sapiens
ENCSR582IPV	ENCFF175JRX		lung	Homo sapiens
ENCSR627KFV	ENCFF012IZP		stomach	Homo sapiens
ENCSR682PKY	ENCFF535YDL		thymus	Homo sapiens
ENCSR777USE	ENCFF494PNZ		thymus	Homo sapiens
ENCSR813CKU	ENCFF386HEY		urinary bladder	Homo sapiens
ENCSR796SJV	ENCFF571DGW		large intestine	Homo sapiens
ENCSR705CNJ	ENCFF579OZM		heart	Homo sapiens
ENCSR838IPF	ENCFF282QFQ		thymus	Homo sapiens
ENCSR696XSJ	ENCFF420WQQ		adrenal gland	Homo sapiens
ENCSR941DTJ	ENCFF820ERD		kidney	Homo sapiens
ENCSR562FNN	ENCFF933OGA		liver	Homo sapiens
ENCSR504KZE	ENCFF278CXU		lung	Homo sapiens
ENCSR866ODX	ENCFF806TUA		testis	Homo sapiens
ENCSR664PKM	ENCFF372KCN		heart	Homo sapiens
ENCSR930YSB	ENCFF168UIO		stomach	Homo sapiens
ENCSR158YXM	ENCFF760SUM		liver	Homo sapiens
ENCSR318WOD	ENCFF239JXU		lung	Homo sapiens
ENCSR820ICX	ENCFF910DCV		retina	Homo sapiens
ENCSR874CAK	ENCFF033GGY		large intestine	Homo sapiens
ENCSR311LLZ	ENCFF579QVX		heart	Homo sapiens
ENCSR278FHC	ENCFF320BJH		testis	Homo sapiens
ENCSR712PYJ	ENCFF418PRB		ovary	Homo sapiens
ENCSR428XAX	ENCFF770ZGN		ovary	Homo sapiens
ENCSR475VQD	ENCFF224LZZ		brain	Homo sapiens
ENCSR164PQJ	ENCFF007IZH		thymus	Homo sapiens
ENCSR532CRI	ENCFF958PPG		limb	Homo sapiens
ENCSR608AHQ	ENCFF894SPL		stomach	Homo sapiens
ENCSR683YLO	ENCFF781JWJ		stomach	Homo sapiens
ENCSR820XRX	ENCFF014KIO		brain	Homo sapiens
ENCSR259GYP	ENCFF558JPT		adrenal gland	Homo sapiens
ENCSR163PKT	ENCFF889SAK		stomach	Homo sapiens
ENCSR118WIQ	ENCFF546VAB		brain	Homo sapiens
ENCSR365NDK	ENCFF158YTV		ovary	Homo sapiens
ENCSR420RWU	ENCFF149UIY		brain	Homo sapiens
ENCSR522FGG	ENCFF078OQS		stomach	Homo sapiens
ENCSR047FNH	ENCFF235JPE		large intestine	Homo sapiens
ENCSR962VJO	ENCFF715QGZ		adrenal gland	Homo sapiens
ENCSR911LTI	ENCFF802TWB		heart	Homo sapiens
ENCSR064GBK	ENCFF302OBA		heart	Homo sapiens
ENCSR106OKX	ENCFF388NNQ		kidney	Homo sapiens
ENCSR080PZL	ENCFF230LFX		adrenal gland	Homo sapiens
ENCSR873ANE	ENCFF743ARK		kidney	Homo sapiens
ENCSR133SPH	ENCFF313RYS		large intestine	Homo sapiens
