file1,file2,sketch_type,mode,precision,num_hashes,kmer_size,window_size,reg_eq_similarity,jaccard_similarity_ie,containment_AB,containment_BA,cosketch_geom,cosketch_arith,cosketch_max,ref1,ref2
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8655346075673078,0.8556732133349264,0.9127229949217041,0.9319249460190118,0.9222739982091654,0.9223239704703579,0.9319249460190118,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8669885952935508,0.8569522018610206,0.9108978137677527,0.9353589821885993,0.923047372545757,0.9231283979781759,0.9353589821885993,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8558536902937612,0.8455296819944746,0.9014603724025868,0.9316369563548274,0.9164244636737036,0.9165486643787071,0.9316369563548274,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8591859508986256,0.8491641564265925,0.9325292189577553,0.9047512729031533,0.9185352458514656,0.9186402459304543,0.9325292189577553,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8804356435643564,0.8723819255690689,0.9440224865984663,0.9199715548515546,0.9319194357941151,0.9319970207250104,0.9440224865984663,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8761531594087888,0.8674397290245992,0.9363984562647417,0.921747004042796,0.9290438480784019,0.9290727301537689,0.9363984562647417,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.875954332142607,0.8675088073190901,0.9260312273029119,0.9320977432658557,0.9290595337020954,0.9290644852843838,0.9320977432658557,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8586101054619865,0.8484588030389272,0.9256784401842864,0.9104824050968633,0.918048981571954,0.9180804226405748,0.9256784401842864,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8649205123636435,0.8547225846428297,0.925118205688424,0.918250619982131,0.9216780164081987,0.9216844128352775,0.925118205688424,NA,NA
fBrain-DS16302.hotspot.twopass.fdr0.05.merge.fa,fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.fa,minimizer,D,18,NA,10,30,0.8831889851210304,0.8748541472971101,0.9234533197222037,0.9432574910310421,0.9333028776584011,0.9333554053766229,0.9432574910310421,NA,NA
