Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR418SBY	ENCFF914BTR	CTCF	lung	ENCAB247TYO
ENCSR418SBY	ENCFF663RDE	CTCF	lung	ENCAB247TYO
ENCSR494TNM	ENCFF966BYU	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF838NDW	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF137PWH	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF990EXV	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF447DVZ	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF232BJL	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF679WVG	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF431OZO	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF638SOR	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF146REQ	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF772SZX	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF432XLE	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF187EOX	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF686GDH	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF300WML	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF982KVN	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF684CSF	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF788RFY	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF711HNH	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF766SZO	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF128XQJ	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF779ESS	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF883KMQ	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF387GJA	CTCF	testis	Homo sapiens
ENCSR494TNM	ENCFF897DPN	CTCF	testis	Homo sapiens
ENCSR482PMN	ENCFF458DTN	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF024GRH	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF542ZSP	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF577BMV	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF856JOP	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF015XKO	CTCF	spleen	Homo sapiens
