corpus,method,size_class,num_intervals,subB,rep,run_id,file_a,file_b,jaccard,jaccard_ie,containment_AB,containment_BA,wall_time,cpu_time,max_rss_mb,sketch_creation_time,comparison_time,pair_time,write_time,precision,threads,metrics
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed,0.390655517578125,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed,0.4073143005371094,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed,0.40152740478515625,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed,0.4079132080078125,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed,0.4035148620605469,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed,0.39586639404296875,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed,0.3994483947753906,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed,0.39437103271484375,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed,0.2826080322265625,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed,fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed,0.3596382141113281,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,0.6161117553710938,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed,0.7024421691894531,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed,0.4228401184082031,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed,0.392333984375,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed,0.409698486328125,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
maurano,mixed-stride,maurano,192943,1.0,0,1,fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed,0.428314208984375,,,,9.49767780303955,51.882626,36.59765625,9.475905,0.014069,0.013815,0.000253,18,8,False
