"accession","species","tissue"
"ENCFF347LGY","Mus_musculus","cerebellum"
"ENCFF349IJO","Mus_musculus","kidney"
"ENCFF349RHV","Mus_musculus","liver"
"ENCFF352YHO","Mus_musculus","liver"
"ENCFF353PCS","Homo_sapiens","kidney"
"ENCFF356NGO","Mus_musculus","kidney"
"ENCFF357KUY","Mus_musculus","stomach"
"ENCFF357MTG","Mus_musculus","kidney"
"ENCFF359GBF","Mus_musculus","lung"
"ENCFF360MVK","Mus_musculus","liver"
"ENCFF361TJS","Mus_musculus","stomach"
"ENCFF362ALT","Mus_musculus","liver"
"ENCFF363HQJ","Mus_musculus","kidney"
"ENCFF365OXE","Mus_musculus","kidney"
"ENCFF366EFR","Mus_musculus","lung"
"ENCFF366PDF","Mus_musculus","stomach"
"ENCFF367RKA","Mus_musculus","stomach"
"ENCFF368SUV","Mus_musculus","kidney"
"ENCFF368VLY","Homo_sapiens","stomach"
"ENCFF370OFA","Mus_musculus","lung"
"ENCFF371YQL","Mus_musculus","stomach"
"ENCFF376JQK","Mus_musculus","lung"
"ENCFF377MMA","Homo_sapiens","liver"
"ENCFF379TUH","Mus_musculus","kidney"
"ENCFF380LCZ","Mus_musculus","stomach"
"ENCFF381SVX","Mus_musculus","lung"
"ENCFF382CMV","Mus_musculus","liver"
"ENCFF385MYQ","Mus_musculus","liver"
"ENCFF385RNA","Mus_musculus","lung"
"ENCFF385VAO","Mus_musculus","kidney"
"ENCFF388YMS","Mus_musculus","liver"
"ENCFF389ETY","Mus_musculus","liver"
"ENCFF389HVM","Mus_musculus","kidney"
"ENCFF389JBE","Mus_musculus","liver"
"ENCFF389JHI","Mus_musculus","liver"
"ENCFF389TDG","Mus_musculus","stomach"
"ENCFF391DJV","Mus_musculus","stomach"
"ENCFF391WTC","Mus_musculus","kidney"
"ENCFF392DSR","Mus_musculus","stomach"
"ENCFF394OCS","Mus_musculus","lung"
"ENCFF395EDU","Mus_musculus","kidney"
"ENCFF395HGS","Homo_sapiens","kidney"
"ENCFF395IGM","Mus_musculus","stomach"
"ENCFF395KLV","Mus_musculus","liver"
"ENCFF395TZD","Mus_musculus","stomach"
"ENCFF398PBL","Mus_musculus","liver"
"ENCFF399IYG","Mus_musculus","liver"
"ENCFF399KKU","Mus_musculus","liver"
"ENCFF400BCR","Mus_musculus","kidney"
"ENCFF400PMP","Mus_musculus","stomach"
"ENCFF401BGN","Mus_musculus","liver"
"ENCFF401WRR","Mus_musculus","lung"
"ENCFF404BIF","Mus_musculus","kidney"
"ENCFF404QVP","Mus_musculus","cerebellum"
"ENCFF406MNW","Mus_musculus","kidney"
"ENCFF407FOM","Mus_musculus","kidney"
"ENCFF407PIL","Mus_musculus","stomach"
"ENCFF408UYJ","Mus_musculus","liver"
"ENCFF409BPW","Mus_musculus","liver"
"ENCFF409EIF","Mus_musculus","kidney"
"ENCFF409JYK","Mus_musculus","cerebellum"
"ENCFF409QII","Mus_musculus","stomach"
"ENCFF409XPM","Mus_musculus","lung"
"ENCFF410YGW","Mus_musculus","kidney"
"ENCFF413FMO","Mus_musculus","kidney"
"ENCFF413HET","Mus_musculus","kidney"
"ENCFF414PDU","Mus_musculus","stomach"
